name,plan_code,program,developer,peril_type,coverage_type,crops,status,source_url,verified,notes
Margin Protection (MP),16;17,federal_508h,Watts and Associates,margin (revenue minus input costs),area-based margin,Corn;Soybeans;Rice;Spring Wheat,active,https://www.rma.usda.gov/policy-procedure/general-policies/margin-protection,1,"508(h) confirmed: RMA MP page states MP is 'a privately developed product that was submitted to the FCIC Board under Section 508(h)'; developer per RMA 508(h) developer-contact list (Watts and Associates). First available 2016 crop year for corn, rice, soybeans, spring wheat in select counties. Plan 16 = MP, 17 = MP with Harvest Price Option (RMA M13 P99F-1 plan-code exhibit)."
Stacked Income Protection Plan (STAX),35;36,federal_farm_bill,USDA RMA (statutory; 2014 Farm Bill),area revenue,area supplemental,Cotton,active,https://www.everycrsreport.com/reports/R43494.html,1,"NOT 508(h): created by statute in the 2014 Farm Bill (CRS R43494: 'the FCIC shall make available to producers of upland cotton the Stacked Income Protection Plan'); not on RMA's 508(h) developer list. Upland cotton only, from 2015 crop year. Plan 35 = STAX-RP, 36 = STAX-RP-HPE (RMA M13 P99F-1 exhibit). Kept for completeness as a federal supplemental area product."
Supplemental Coverage Option (SCO),31;32;33,federal_farm_bill,USDA RMA (statutory; 2014 Farm Bill),area (yield/revenue),supplemental area endorsement,Corn;Soybeans;Wheat;Grain Sorghum;Cotton;Rice;Barley;Oats;Canola;Dry Beans;Dry Peas;Sunflowers,active,https://www.everycrsreport.com/reports/R43494.html,1,"NOT 508(h): created by statute in the 2014 Farm Bill (CRS R43494); first available 2015 crop year. Covers part of the underlying-policy deductible up to 86% on an area basis. Plan 31 = SCO-YP, 32 = SCO-RP, 33 = SCO-RP-HPE (RMA M13 P99F-1 exhibit). Kept because it is the federal analog private supplemental products layer around."
Enhanced Coverage Option (ECO),87;88;89,federal_508h,Watts and Associates,area (yield/revenue),supplemental area endorsement,Corn;Soybeans;Wheat;Grain Sorghum;Cotton;Rice,active,https://www.rma.usda.gov/about-crop-insurance/frequently-asked-questions/enhanced-coverage-option,1,"508(h) confirmed: FCIC Board approved ECO under section 508(h) on 2020-08-20 (RMA ECO FAQ / PM-20-078); first available 2021 crop year. Developer per RMA 508(h) developer-contact list: Watts and Associates. Area band from 86% up to 90% or 95%, stacking above SCO. Plan codes 87 (ECO-YP), 88 (ECO-RP), 89 (ECO-RP-HPE) per RMA M13 Enhanced APP III; administered as an endorsement (no entry in 2023 P99F-1 exhibit)."
Hurricane Insurance Protection - Wind Index (HIP-WI),37,federal_rma,USDA RMA,wind (named-hurricane index),index endorsement,Corn;Soybeans;Cotton;Rice;Grain Sorghum;Peanuts,active,https://www.rma.usda.gov/about-crop-insurance/highlighted-initiatives-plans/hurricane-insurance-protection-wind-index,1,"NOT 508(h): developed by RMA (2018 Farm Bill hurricane-coverage mandate) and absent from RMA's 508(h) developer list. Plan code corrected to 37 (prior value 89 is ECO-RP-HPE; 37 = HIP-WI per RMA M13 P99F-1 exhibit). First available 2020; Tropical Storm option added later. Covers ~70 crops in 23 hurricane-exposed states; row-crop subset listed."
Post-Application Coverage Endorsement (PACE),26;27;28,federal_508h,"Zea Mays Foundation (G. Schnitkey, Univ. of Illinois) with Ag-Analytics; supported by Meridian Institute/AGree, IL Corn, NCGA",split-applied nitrogen shortfall,endorsement,Corn,active,https://www.rma.usda.gov/about-crop-insurance/frequently-asked-questions/post-application-coverage-endorsement-pace,1,"508(h) confirmed (RMA PACE FAQ; farmdoc daily 2022-01-18). Developer of record per RMA 508(h) developer-contact list: Zea Mays Foundation. First available 2022 crop year for non-irrigated corn with split-applied nitrogen in 11 Midwest states. Endorsement to YP/RP/RP-HPE; plan codes 26/27/28 confirmed in 2026 ADM InsurancePlan table (A00460)."
Whole-Farm Revenue Protection (WFRP),76,federal_rma,USDA RMA (2014 Farm Bill directive),whole-farm revenue,whole-farm,All crops (whole-farm),active,https://www.rma.usda.gov/about-crop-insurance/frequently-asked-questions/whole-farm-revenue-protection-plan-2026,1,"NOT 508(h): the 2014 Farm Bill directed FCIC to provide whole-farm coverage (CRS R43494); RMA developed WFRP as successor to AGR/AGR-Lite, first available 2015. Plan code 76 confirmed (RMA M13 P99F-1 exhibit). Kept for completeness; whole-farm rather than single-crop row-crop product."
Margin Coverage Option (MCO),67;68;69,federal_508h,Watts and Associates,margin (revenue minus input costs),supplemental area endorsement (86-95% margin band),Corn;Soybeans;Cotton;Grain Sorghum;Rice;Spring Wheat,active,https://rma.usda.gov/policy-procedure/general-policies/margin-coverage-option,1,"ADDED. 508(h) confirmed: FCIC Board approved MCO under section 508(h) on 2024-05-23 (RMA MCO page / PM-25-029); announced 2025-07-03, first available 2026 crop year. Developer per RMA 508(h) developer-contact list: Watts and Associates. ECO-style area band on operating margin; endorsement to YP/RP/RP-HPE/APH in select states. Plan codes 67 (MCO-YP), 68 (MCO-RP), 69 (MCO-RP-HPE) confirmed in 2026 ADM InsurancePlan table (A00460) + AIB dropdown."
Trend-Adjusted APH Yield Endorsement (TA-APH),,federal_508h,"iFAR / Univ. of Illinois (B. Sherrick)",yield-trend rating adjustment,endorsement,Corn;Soybeans;Wheat;Cotton;Grain Sorghum;Barley,active,https://www.rma.usda.gov/about-rma/fcic/private-sector-developed-plans/developer-contact-information,1,"ADDED. 508(h): listed on RMA private-sector-developed plans developer list as 'Trend Actual Production History' (developer iFAR). Adjusts APH yields for yield trend; first available 2012 crop year; very widely used on Midwest row crops (farmdoc daily 2023-03). Option on APH-based plans, no standalone plan code; crop/county list per ADM."
Downed Rice Endorsement,,federal_508h,AgriLogic Consulting,wind/hurricane (downed rice harvest loss),endorsement,Rice,active,https://www.rma.usda.gov/sites/default/files/fcic/215minutes.pdf,1,"ADDED. 508(h) confirmed: FCIC Board approved the Downed Rice Endorsement 508(h) submission (board meeting minutes no. 215, Feb 2017). Developer of record per RMA 508(h) developer-contact list: AgriLogic Consulting. Covers added harvesting expense/quality loss when rice is downed. Southern rice states; confirm counties in ADM."
